"","id","member_id","loan_amnt","funded_amnt","term_mnths","int_per","installment","grade","sub_grade","emp_title","emp_yrs","home_ownership","annual_inc","verification_status","issue_d","loan_status","desc","purpose","title","addr_state","dti","open_acc","revol_bal","revol_util_per","total_acc","total_pymnt","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","last_payment_due","issue_date","lpd_yr","iss_yr","paid_mths","unpaid_mths","future_value","credit_loss"
"132",1066215,1300572,24000,24000,36,15.96,843,"C","C5","lafidale inc","8","mortgage",90000,"source verified","Dec-11","Charged Off","","home_improvement","home improve","CA",9.17,9,30952,71.2,23,5896,3814,2082,0,0,0,"Aug-12",843,2012-08-01,2011-12-01,"2012","2011",8,28,20186,24304
"138",1068111,1302472,11100,11100,36,6.62,341,"A","A2","aetna ","10+","rent",41000,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I could really use the help to help pay down my credit card.  The interest rate on it is high.  I also need the help because I have been going back to college and my card has been financing that for the past 6 years.   Any help given would begreatly appreciated.<br>","credit_card","help me out","PA",29.85,8,17518,62.3,18,8120,6517,977,0,626,6,"Nov-13",341,2013-11-01,2011-12-01,"2013","2011",23,13,4583,4132
"146",1068091,1302450,12000,12000,36,9.91,387,"B","B1","luxottica retail","2","rent",42000,"not verified","Dec-11","Charged Off","  Borrower added on 12/14/11 > I will be using the money to pay off higher interest credit cards.I have always paid my bills on time and most of the time in full. I always stay within my monthly budget. I have been at my current job for almost 2 years.<br>","debt_consolidation","consolidation","MN",7.83,8,9749,65.4,16,11234,9012,1808,0,415,4,"May-14",387,2014-05-01,2011-12-01,"2014","2011",29,7,2988,2672
"152",1067794,1302151,10000,10000,36,11.71,331,"B","B3","karl strauss brewing company","8","rent",60000,"not verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > credit card consolodation<br>","debt_consolidation","consolidation loan","CA",22.08,8,5626,29.3,26,6002,4294,1389,0,319,58,"Jul-13",62,2013-07-01,2011-12-01,"2013","2011",19,17,5706,5903
"154",1068018,1302371,13475,13475,60,13.49,310,"C","C1","vons","10+","rent",25000,"verified","Dec-11","Charged Off","  Borrower added on 12/15/11 > Bills<br>","credit_card","bills","CA",21.89,7,9943,65.8,14,6199,3517,2682,0,0,0,"Oct-13",28,2013-10-01,2011-12-01,"2013","2011",22,38,9958,12274
"156",1067818,1247741,5600,5600,36,14.65,193,"C","C3","o'reilly auto parts","1","mortgage",85000,"not verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","AZ",12.24,8,6812,90.8,31,1351,905,445,0,0,0,"Aug-12",193,2012-08-01,2011-12-01,"2012","2011",8,28,4695,5572
"169",1067644,1302032,2500,2500,36,7.51,78,"A","A3","missing","na","own",12000,"source verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > TO CONSOLIDATE BILLS<br><br> Borrower added on 12/13/11 > TO CONSOLIDATE MY BILLS<br> Borrower added on 12/14/11 > FOR CREDIT CARD PAY OFF <br><br> Borrower added on 12/14/11 > FOR DEBT CONSOLIDATION<br>","debt_consolidation","get free of debt","CA",16.3,13,4853,42.2,20,1839,1575,254,0,10,0,"Dec-13",78,2013-12-01,2011-12-01,"2013","2011",24,12,925,950
"176",1067364,1301744,10000,10000,36,13.49,339,"C","C1","edgestone real estate","5","rent",65000,"not verified","Dec-11","Charged Off","","small_business","small business loan","CA",6.92,12,14292,69.5,17,9271,6800,2012,0,460,4,"Mar-14",339,2014-03-01,2011-12-01,"2014","2011",27,9,3200,2924
"177",1067152,1301933,7750,7750,36,17.27,277,"D","D3","us bank","<1","rent",24000,"not verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > Using money to payoff title loan to sell a vehicle to then payoff this loan.<br> Borrower added on 12/14/11 > I work at a bank full time and starting school part time in January and am trying to sell one of two vehicles that I own to have extra money for debt consolidation and a new laptop.<br>","debt_consolidation","payoff loan","IL",16.1,4,2348,67.1,7,6934,4935,1987,0,12,0,"Jan-14",277,2014-01-01,2011-12-01,"2014","2011",25,11,2815,3057
"178",1062471,1294536,20000,20000,60,20.89,540,"F","F1","independent imaging","6","rent",70000,"source verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I need help to pay off my credit cards fast and just have one monthly bill.<br><br>  Borrower added on 12/14/11 > As I mentioned before, I need the loan to consolidate my debt. I was going through a difficult situation and had to rely on credit cards. Now that situation has passed and I would like to pay them all off and stay with one monthly payment. I have a stable job in the medical field.<br>","debt_consolidation","loan to pay off credit cards","FL",16.63,10,10470,79.9,24,5426,1318,3034,0,1074,10,"Oct-12",591,2012-10-01,2011-12-01,"2012","2011",10,50,18682,27076
"180",1067126,1301506,21000,21000,60,11.71,464,"B","B3","calix","3","rent",60000,"not verified","Dec-11","Charged Off","","debt_consolidation","consolidate me 2011","CA",6.62,7,10543,79.9,11,3708,2143,1565,0,0,0,"Aug-12",464,2012-08-01,2011-12-01,"2012","2011",8,52,18857,24128
"183",1067324,1301699,15000,15000,36,16.77,533,"D","D2","schneider national inc","10+","rent",42000,"verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation loan","WI",19.63,10,8238,74.9,38,13374,8366,3923,0,1085,41,"Apr-14",189,2014-04-01,2011-12-01,"2014","2011",28,8,6634,5971
"184",1067102,1301481,15000,15000,36,17.27,537,"D","D3","santa clara county public defender","8","rent",75000,"source verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","CA",16.03,10,13505,75.9,17,10198,6945,3238,0,15,6,"Aug-13",537,2013-08-01,2011-12-01,"2013","2011",20,16,8055,9057
"189",1067265,1301632,16000,16000,36,12.69,537,"B","B5","marsh","1","rent",58500,"source verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > This money will pay off my higher interest credit cards.  At that point I will be cutting up my cards and living off of a steady income while easily making the payments for this monthly.  This will truly balance my budget.<br>","debt_consolidation","consolidation","IL",20.64,8,26224,89.3,10,12296,9479,2779,27,10,2,"May-14",529,2014-05-01,2011-12-01,"2014","2011",29,7,6521,6787
"196",1067038,1301405,12000,12000,36,14.27,412,"C","C2","corning inc.","8","mortgage",70000,"not verified","Dec-11","Charged Off","","other","debt consolidation loan","NY",8.4,7,11546,86.2,12,4241,2534,1163,0,543,5,"Oct-12",412,2012-10-01,2011-12-01,"2012","2011",10,26,9466,10507
"204",1031265,1260676,13650,13650,36,12.42,456,"B","B4","itt aerospace controls","10+","mortgage",86000,"not verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > Eliminate credit cards and reduce rate on existing balances.  Costs incurred assisting 3 children through college.  Children have all graduated and it's time to pay off the debts.<br>","debt_consolidation","debt consolidation","CA",12.29,12,16140,73.4,34,8203,5811,1932,0,461,5,"May-13",456,2013-05-01,2011-12-01,"2013","2011",17,19,7839,8222
"205",1066835,1301027,10500,10500,36,16.29,371,"D","D1","butte community college","3","rent",30000,"source verified","Dec-11","Charged Off","","debt_consolidation","personal","CA",15,7,5379,55.5,8,2222,1415,807,0,0,0,"Jul-12",371,2012-07-01,2011-12-01,"2012","2011",7,29,9085,11049
"213",1063280,1295793,15075,15075,36,14.27,517,"C","C2","jpmorgan chase bank","10+","rent",35000,"verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation loan","TX",20.16,7,10570,89.6,14,15503,11609,3374,0,519,5,"Jun-14",517,2014-06-01,2011-12-01,"2014","2011",30,6,3466,3093
"221",1066798,1300982,9500,9500,36,12.69,319,"B","B5","san diego unified school district","<1","mortgage",52500,"source verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I just got a new job in a different state and have recently moved. I have had many moving costs that were not reimbursed by my work, and I am trying to pay down the balance. My job is very stable. I am a responsible borrower and have always paid my bills and mortgage on time. Thank you for your support.<br>","moving","moved to california","CA",23.54,14,23729,75.3,42,7002,5367,1636,0,0,0,"Nov-13",319,2013-11-01,2011-12-01,"2013","2011",23,13,4133,4446
"225",1066766,1300949,7200,7200,36,7.9,225,"A","A4","st. mary's health care system, inc.","3","rent",68000,"source verified","Dec-11","Charged Off","","debt_consolidation","bank of america pay-off loan","GA",7.98,5,8783,82.9,14,7731,6744,908,15,64,12,"Nov-14",225,2014-11-01,2011-12-01,"2014","2011",35,1,456,395
"226",1066613,1300801,26000,26000,60,16.77,643,"D","D2","pepsico","10+","mortgage",53000,"verified","Dec-11","Charged Off","  Borrower added on 12/16/11 > This is a home improvement that I'm planning to make. I'm also planning to consolidate some credit card debt of $12,000. The rest will go towards home improvements and repairs. Thank you for the consideration.<br>","home_improvement","home improvement","NC",11.77,5,7560,72.7,14,9622,3946,4392,0,1284,12,"Feb-13",643,2013-02-01,2011-12-01,"2013","2011",14,46,22054,28754
"227",1065648,1299754,7000,7000,60,11.71,155,"B","B3","wa state vdshs","6","mortgage",69600,"verified","Dec-11","Charged Off","","credit_card","debt consolidation","WA",26.22,10,45449,90.9,23,6126,3452,1790,0,884,156,"Oct-14",155,2014-10-01,2011-12-01,"2014","2011",34,26,3548,3146
"232",1066503,1300476,10000,10000,36,12.69,335,"B","B5","nor cal beverage","2","rent",70000,"not verified","Dec-11","Charged Off","  Borrower added on 12/12/11 > I plan to use my loan to pay off other credit cards that have a higher interest rate.  I am a good borrower because I pay my bills on time and they are not late.  My monthly bills add up to $1,850.00.  My job is very stable, I work in a company that has a high demand for the product that I make.<br>","credit_card","credit cards","CA",2.69,5,6035,70.2,6,6352,4513,1505,0,333,3,"Jul-13",335,2013-07-01,2011-12-01,"2013","2011",19,17,5487,5685
"240",1066344,1300716,15600,15600,60,12.69,352,"B","B5","corbett industries","10+","rent",50000,"source verified","Dec-11","Charged Off","","vacation","vacation loan","NY",5.78,8,8079,35.7,11,16894,11632,5262,0,0,0,"Jan-16",352,2016-01-01,2011-12-01,"2016","2011",49,11,3968,4224
"252",1048526,1279867,4000,4000,36,12.69,134,"B","B5","xoxo salon","2","rent",25000,"not verified","Dec-11","Charged Off","","debt_consolidation","car loan","CO",6.86,5,8546,79.7,13,2023,1374,498,0,151,2,"Mar-13",134,2013-03-01,2011-12-01,"2013","2011",15,21,2626,2789
"256",1066232,1300594,10000,10000,36,12.42,334,"B","B4","first national bank of st. louis","10+","rent",39000,"source verified","Dec-11","Charged Off","","credit_card","credit card consolidation","MO",18.31,7,11691,90.6,19,11605,9636,1957,0,12,0,"Apr-14",4378,2014-04-01,2011-12-01,"2014","2011",28,8,364,372
"267",1066162,1300514,12000,12000,36,8.9,381,"A","A5","time escrow, inc.","7","rent",80000,"not verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > Im just trying to consolidate my credit card debts. <br>","other","credit card consolidating","CA",9.13,8,13088,83.5,16,10411,8331,1565,0,516,5,"Mar-14",381,2014-03-01,2011-12-01,"2014","2011",27,9,3669,3291
"271",1063447,1296011,16000,16000,60,13.49,368,"C","C1","missing","10+","rent",35000,"verified","Dec-11","Charged Off","","small_business","small business","NC",16.22,6,19184,58.5,14,10343,5148,3678,0,1517,15,"Jan-14",368,2014-01-01,2011-12-01,"2014","2011",25,35,10852,11678
"274",1066112,1300264,11875,11875,60,12.69,268,"B","B5","guardsmark","<1","rent",25920,"source verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I need this loan to start a better life for myself and get back on track. <br> Borrower added on 12/14/11 > -I am a great borrower, because I am hard working. I also have the cash to make payments every month with ease.<br>-my monthly budget $2,256<br>-I have a steady job in securty<br><br>  Borrower added on 12/19/11 > I really need this loan to make a better future for myself. To pay off debt and have cost of living stability.<br>","debt_consolidation","debt consolidation loan","CA",23.75,8,13932,94.1,28,1185,286,249,0,651,117,"Mar-12",268,2012-03-01,2011-12-01,"2012","2011",3,57,11589,14853
"279",1066071,1300216,14000,14000,36,7.9,438,"A","A4","interim health care","10+","own",45600,"not verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","WV",19.74,5,15846,63.9,10,6130,5053,1077,0,0,0,"Mar-13",438,2013-03-01,2011-12-01,"2013","2011",15,21,8947,9618
"300",1065026,1298879,8000,8000,36,16.29,282,"D","D1","st. rose san martin","5","rent",50000,"not verified","Dec-11","Charged Off","","credit_card","credit debt","NV",13.22,9,5106,72.9,12,4534,2799,1436,0,298,3,"Apr-13",287,2013-04-01,2011-12-01,"2013","2011",16,20,5201,5682
"301",1057001,1288555,30000,30000,60,12.42,674,"B","B4","missing","3","rent",70000,"source verified","Dec-11","Charged Off","  Borrower added on 12/11/11 > I am self-employed LLC company with 3 years experience. I have new product for my business and I need starting money to make patent, manufacturing and advertising. I already have working prototype and estimated price to make my new product.<br>","small_business","patent and manufacturing.","TX",0.94,7,1159,3.2,14,17179,8464,5680,34,3002,30,"Oct-13",674,2013-10-01,2011-12-01,"2013","2011",22,38,21536,23142
"302",1065513,1299629,18000,18000,60,16.77,445,"D","D2","old republic home protection","6","own",40000,"not verified","Dec-11","Charged Off","  Borrower added on 12/11/11 > Personal Loan<br> Borrower added on 12/13/11 > Personal Loan<br>","home_improvement","personal loan","CA",18.42,7,11147,73.4,20,11229,4678,4652,0,1899,19,"Oct-13",445,2013-10-01,2011-12-01,"2013","2011",22,38,13322,15353
"305",1061788,1293410,20000,20000,60,20.3,533,"E","E5","federal","10+","own",59000,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I will pay of bills.<br><br> Borrower added on 12/13/11 > I am in a very good job, i am not  n any danger in losing it. I have always try my best to pay in a timely matter.  I have paid off several  debts of early in my years.  I am a very honest and trustfully person.  You can as me any questions I will try my best to answer it in my best to my knowledge.  <br><br> Borrower added on 12/13/11 > thanks to the people who has put faith into me. you wont be sorry.<br><br> Borrower added on 12/14/11 > Thank you again in believeing in me. I promise not ro let you down. thanks again for your support.<br><br> Borrower added on 12/14/11 > thank you all for your support<br><br><br> Borrower added on 12/15/11 > thank you to all the investors. You won't be sorry.  however I need atleast 2/3 of my request amount.  Im not being unappectaned, i promise you I won't let you down<br><br> Borrower added on 12/15/11 > I got a emial stateing I had a question from a investor, But I don't see it<br><br> Borrower added on 12/15/11 > oh thank you so much, to those who just put their trust in me.  Merry Christmas.<br><br> Borrower added on 12/16/11 > i dont know if the message went tho  I want to express my feeling to all the investors  Merry Christmas and bless you all!!<br><br>  Borrower added on 12/19/11 > I recieved a email telling me I had a question form a lender.  I went online and i don&quot;t see one.<br><br> Borrower added on 12/19/11 > I want to give my blessing to all the new investors, that have faith in me.  I promise you won't be sorry.<br><br> Borrower added on 12/19/11 > nevermind, i found the questions.<br><br>  Borrower added on 12/20/11 > The amount I will receive is turely a blessing. you are all good people. thank you for making this time of yr and easier to relax and maybe not worry about the coming year.  GOD BLESS YOU ALL.<br><br>  Borrower added on 12/21/11 > it almost the end, I would like to thank all of you for the support.  I would like more, however, the amount i get for this loan, will come in handing, please consider to support me a little more. Thank you<br>","debt_consolidation","life changing","AK",20.91,16,32137,83.1,32,16063,6318,7791,0,1955,20,"Mar-14",281,2014-03-01,2011-12-01,"2014","2011",27,33,13682,15997
"314",1065467,1299576,9000,9000,60,19.91,238,"E","E4","responsive learning technologies","3","rent",60000,"verified","Dec-11","Charged Off","","credit_card","cards","CA",22.56,17,21321,91.1,30,5228,2328,2900,0,0,0,"Oct-13",238,2013-10-01,2011-12-01,"2013","2011",22,38,6672,9044
"315",1065649,1299755,25000,25000,60,18.64,644,"E","E1","kings county district attorney's office","10+","rent",61500,"verified","Dec-11","Charged Off","  Borrower added on 12/13/11 > I plan to pay off my credit cards.  I have 13 years on the job with a secure career.  <br><br>  Borrower added on 12/19/11 > Sending the minimum payments will take me, ranging from the lowest balance to the highest balance, approx. 10 to 26 years.  With Lending Club, 5 years is motivational and a BIG difference.<br>","debt_consolidation","clear up","NY",12.6,11,24278,60.8,25,25775,13993,11732,32,18,3,"Apr-15",644,2015-04-01,2011-12-01,"2015","2011",40,20,11007,12862
"318",1064102,1296692,20000,20000,60,15.27,479,"C","C4","level 3 communications","10+","own",78216,"verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation","CA",10.79,8,25161,80.3,21,5798,2368,2405,0,1025,10,"Oct-12",479,2012-10-01,2011-12-01,"2012","2011",10,50,17632,22925
"319",1062399,1294261,18000,18000,60,17.27,450,"D","D3","nexcom","1","mortgage",62000,"verified","Dec-11","Charged Off","","debt_consolidation","outofdebt","VA",7.82,8,11273,86.7,30,20809,11595,8173,0,1041,187,"Aug-15",450,2015-08-01,2011-12-01,"2015","2011",44,16,6405,6175
"325",1065348,1299443,5000,5000,36,12.42,167,"B","B4","the newell group","2","rent",30000,"source verified","Dec-11","Charged Off","","debt_consolidation","debt consolidation - dec 2011","SC",23.84,8,7980,89.7,40,834,588,246,0,0,0,"Jun-12",167,2012-06-01,2011-12-01,"2012","2011",6,30,4412,5160
"329",1065304,1299388,12000,12000,36,9.91,387,"B","B1","shaws","10+","rent",55000,"not verified","Dec-11","Charged Off","  Borrower added on 12/11/11 > This loan is to pay off automobile and credit cards<br>","debt_consolidation","zero balance project","RI",13,10,11774,75.5,17,5852,4244,1162,0,445,5,"Mar-13",387,2013-03-01,2011-12-01,"2013","2011",15,21,7756,8039
